type,name,value,actual_value
tacklePerGame,"Marcos Rojo, Defender",61.29,1.38
interceptionPerGame,"Marcos Rojo, Defender",77.42,1.57
defensive_rating,"Marcos Rojo, Defender",67.74,7.16
keyPassPerGame,"Marcos Rojo, Defender",38.71,0.24
dribbleWonPerGame,"Marcos Rojo, Defender",48.39,0.48
offensive_rating,"Marcos Rojo, Defender",67.74,7.16
passing_rating,"Marcos Rojo, Defender",67.74,7.16
goal,"Juan Mata, Midfielder",96.77,6.0
assistTotal,"Juan Mata, Midfielder",83.87,3.0
passSuccess,"Juan Mata, Midfielder",87.1,89.7
all_rating,"Juan Mata, Midfielder",64.52,6.98
tacklePerGame,"Juan Mata, Midfielder",45.16,0.84
interceptionPerGame,"Juan Mata, Midfielder",35.48,0.44
defensive_rating,"Juan Mata, Midfielder",64.52,6.98
keyPassPerGame,"Juan Mata, Midfielder",93.55,1.8
dribbleWonPerGame,"Juan Mata, Midfielder",61.29,0.56
offensive_rating,"Juan Mata, Midfielder",64.52,6.98
passing_rating,"Juan Mata, Midfielder",64.52,6.98
goal,"Matteo Darmian, Defender",51.61,0.0
assistTotal,"Matteo Darmian, Defender",54.84,0.0
passSuccess,"Matteo Darmian, Defender",29.03,81.48
all_rating,"Matteo Darmian, Defender",61.29,6.95
tacklePerGame,"Matteo Darmian, Defender",83.87,2.33
interceptionPerGame,"Matteo Darmian, Defender",90.32,2.22
defensive_rating,"Matteo Darmian, Defender",61.29,6.95
keyPassPerGame,"Matteo Darmian, Defender",32.26,0.11
dribbleWonPerGame,"Matteo Darmian, Defender",32.26,0.17
offensive_rating,"Matteo Darmian, Defender",61.29,6.95
passing_rating,"Matteo Darmian, Defender",61.29,6.95
goal,"Anthony Martial, Forward",83.87,4.0
assistTotal,"Anthony Martial, Forward",100.0,6.0
passSuccess,"Anthony Martial, Forward",25.81,81.25
all_rating,"Anthony Martial, Forward",58.06,6.94
tacklePerGame,"Anthony Martial, Forward",38.71,0.68
interceptionPerGame,"Anthony Martial, Forward",29.03,0.36
defensive_rating,"Anthony Martial, Forward",58.06,6.94
keyPassPerGame,"Anthony Martial, Forward",67.74,1.0
dribbleWonPerGame,"Anthony Martial, Forward",93.55,1.76
offensive_rating,"Anthony Martial, Forward",58.06,6.94
passing_rating,"Anthony Martial, Forward",58.06,6.94
goal,"Marouane Fellaini, Midfielder",77.42,1.0
assistTotal,"Marouane Fellaini, Midfielder",54.84,0.0
passSuccess,"Marouane Fellaini, Midfielder",61.29,86.01
all_rating,"Marouane Fellaini, Midfielder",54.84,6.91
tacklePerGame,"Marouane Fellaini, Midfielder",77.42,2.0
interceptionPerGame,"Marouane Fellaini, Midfielder",61.29,1.04
defensive_rating,"Marouane Fellaini, Midfielder",54.84,6.91
keyPassPerGame,"Marouane Fellaini, Midfielder",51.61,0.64
dribbleWonPerGame,"Marouane Fellaini, Midfielder",54.84,0.54
offensive_rating,"Marouane Fellaini, Midfielder",54.84,6.91
passing_rating,"Marouane Fellaini, Midfielder",54.84,6.91
goal,"Luke Shaw, Defender",51.61,0.0
assistTotal,"Luke Shaw, Defender",70.97,1.0
passSuccess,"Luke Shaw, Defender",48.39,85.64
all_rating,"Luke Shaw, Defender",51.61,6.9
tacklePerGame,"Luke Shaw, Defender",51.61,1.09
interceptionPerGame,"Luke Shaw, Defender",64.52,1.09
defensive_rating,"Luke Shaw, Defender",51.61,6.9
keyPassPerGame,"Luke Shaw, Defender",58.06,0.91
dribbleWonPerGame,"Luke Shaw, Defender",67.74,0.82
offensive_rating,"Luke Shaw, Defender",51.61,6.9
passing_rating,"Luke Shaw, Defender",51.61,6.9
goal,"Henrikh Mkhitaryan, Midfielder",83.87,4.0
assistTotal,"Henrikh Mkhitaryan, Midfielder",70.97,1.0
passSuccess,"Henrikh Mkhitaryan, Midfielder",35.48,84.09
all_rating,"Henrikh Mkhitaryan, Midfielder",48.39,6.9
tacklePerGame,"Henrikh Mkhitaryan, Midfielder",48.39,0.96
interceptionPerGame,"Henrikh Mkhitaryan, Midfielder",51.61,0.92
defensive_rating,"Henrikh Mkhitaryan, Midfielder",48.39,6.9
keyPassPerGame,"Henrikh Mkhitaryan, Midfielder",83.87,1.21
dribbleWonPerGame,"Henrikh Mkhitaryan, Midfielder",83.87,1.21
offensive_rating,"Henrikh Mkhitaryan, Midfielder",48.39,6.9
passing_rating,"Henrikh Mkhitaryan, Midfielder",48.39,6.9
goal,"Ashley Young, Midfielder",51.61,0.0
assistTotal,"Ashley Young, Midfielder",70.97,1.0
passSuccess,"Ashley Young, Midfielder",32.26,83.18
all_rating,"Ashley Young, Midfielder",45.16,6.83
tacklePerGame,"Ashley Young, Midfielder",64.52,1.5
interceptionPerGame,"Ashley Young, Midfielder",67.74,1.33
defensive_rating,"Ashley Young, Midfielder",45.16,6.83
keyPassPerGame,"Ashley Young, Midfielder",61.29,0.92
dribbleWonPerGame,"Ashley Young, Midfielder",74.19,0.92
offensive_rating,"Ashley Young, Midfielder",45.16,6.83
passing_rating,"Ashley Young, Midfielder",45.16,6.83
goal,"Wayne Rooney, Forward",93.55,5.0
assistTotal,"Wayne Rooney, Forward",93.55,5.0
passSuccess,"Wayne Rooney, Forward",38.71,84.21
all_rating,"Wayne Rooney, Forward",41.94,6.8
tacklePerGame,"Wayne Rooney, Forward",45.16,0.84
interceptionPerGame,"Wayne Rooney, Forward",45.16,0.64
defensive_rating,"Wayne Rooney, Forward",41.94,6.8
keyPassPerGame,"Wayne Rooney, Forward",87.1,1.44
dribbleWonPerGame,"Wayne Rooney, Forward",51.61,0.52
offensive_rating,"Wayne Rooney, Forward",41.94,6.8
passing_rating,"Wayne Rooney, Forward",41.94,6.8
goal,"Joel Pereira, Goalkeeper",51.61,0.0
assistTotal,"Joel Pereira, Goalkeeper",54.84,0.0
passSuccess,"Joel Pereira, Goalkeeper",3.23,48.15
all_rating,"Joel Pereira, Goalkeeper",38.71,6.78
tacklePerGame,"Joel Pereira, Goalkeeper",16.13,0.0
interceptionPerGame,"Joel Pereira, Goalkeeper",19.35,0.0
defensive_rating,"Joel Pereira, Goalkeeper",38.71,6.78
keyPassPerGame,"Joel Pereira, Goalkeeper",22.58,0.0
dribbleWonPerGame,"Joel Pereira, Goalkeeper",29.03,0.0
offensive_rating,"Joel Pereira, Goalkeeper",38.71,6.78
passing_rating,"Joel Pereira, Goalkeeper",38.71,6.78
goal,"Chris Smalling, Defender",77.42,1.0
assistTotal,"Chris Smalling, Defender",70.97,1.0
passSuccess,"Chris Smalling, Defender",77.42,88.36
all_rating,"Chris Smalling, Defender",35.48,6.72
tacklePerGame,"Chris Smalling, Defender",32.26,0.67
interceptionPerGame,"Chris Smalling, Defender",48.39,0.72
defensive_rating,"Chris Smalling, Defender",35.48,6.72
keyPassPerGame,"Chris Smalling, Defender",35.48,0.17
dribbleWonPerGame,"Chris Smalling, Defender",29.03,0.0
offensive_rating,"Chris Smalling, Defender",35.48,6.72
passing_rating,"Chris Smalling, Defender",35.48,6.72
goal,"Jesse Lingard, Midfielder",77.42,1.0
assistTotal,"Jesse Lingard, Midfielder",77.42,2.0
passSuccess,"Jesse Lingard, Midfielder",74.19,87.88
all_rating,"Jesse Lingard, Midfielder",32.26,6.69
tacklePerGame,"Jesse Lingard, Midfielder",38.71,0.68
interceptionPerGame,"Jesse Lingard, Midfielder",41.94,0.56
defensive_rating,"Jesse Lingard, Midfielder",32.26,6.69
keyPassPerGame,"Jesse Lingard, Midfielder",74.19,1.16
dribbleWonPerGame,"Jesse Lingard, Midfielder",70.97,0.84
offensive_rating,"Jesse Lingard, Midfielder",32.26,6.69
passing_rating,"Jesse Lingard, Midfielder",32.26,6.69
goal,"Michael Carrick, Midfielder",51.61,0.0
assistTotal,"Michael Carrick, Midfielder",54.84,0.0
passSuccess,"Michael Carrick, Midfielder",80.65,88.99
all_rating,"Michael Carrick, Midfielder",29.03,6.68
tacklePerGame,"Michael Carrick, Midfielder",54.84,1.13
interceptionPerGame,"Michael Carrick, Midfielder",83.87,1.78
defensive_rating,"Michael Carrick, Midfielder",29.03,6.68
keyPassPerGame,"Michael Carrick, Midfielder",48.39,0.52
dribbleWonPerGame,"Michael Carrick, Midfielder",45.16,0.3
offensive_rating,"Michael Carrick, Midfielder",29.03,6.68
passing_rating,"Michael Carrick, Midfielder",29.03,6.68
goal,"Axel Tuanzebe, Defender",51.61,0.0
assistTotal,"Axel Tuanzebe, Defender",54.84,0.0
passSuccess,"Axel Tuanzebe, Defender",93.55,91.61
all_rating,"Axel Tuanzebe, Defender",25.81,6.64
tacklePerGame,"Axel Tuanzebe, Defender",80.65,2.25
interceptionPerGame,"Axel Tuanzebe, Defender",80.65,1.75
defensive_rating,"Axel Tuanzebe, Defender",25.81,6.64
keyPassPerGame,"Axel Tuanzebe, Defender",41.94,0.25
dribbleWonPerGame,"Axel Tuanzebe, Defender",35.48,0.25
offensive_rating,"Axel Tuanzebe, Defender",25.81,6.64
passing_rating,"Axel Tuanzebe, Defender",25.81,6.64
goal,"Scott McTominay, Midfielder",51.61,0.0
assistTotal,"Scott McTominay, Midfielder",54.84,0.0
passSuccess,"Scott McTominay, Midfielder",90.32,91.23
all_rating,"Scott McTominay, Midfielder",22.58,6.6
tacklePerGame,"Scott McTominay, Midfielder",16.13,0.0
interceptionPerGame,"Scott McTominay, Midfielder",54.84,1.0
defensive_rating,"Scott McTominay, Midfielder",22.58,6.6
keyPassPerGame,"Scott McTominay, Midfielder",45.16,0.5
dribbleWonPerGame,"Scott McTominay, Midfielder",29.03,0.0
offensive_rating,"Scott McTominay, Midfielder",22.58,6.6
passing_rating,"Scott McTominay, Midfielder",22.58,6.6
goal,"Marcus Rashford, Forward",93.55,5.0
assistTotal,"Marcus Rashford, Forward",70.97,1.0
passSuccess,"Marcus Rashford, Forward",19.35,78.68
all_rating,"Marcus Rashford, Forward",19.35,6.58
tacklePerGame,"Marcus Rashford, Forward",29.03,0.5
interceptionPerGame,"Marcus Rashford, Forward",32.26,0.38
defensive_rating,"Marcus Rashford, Forward",19.35,6.58
keyPassPerGame,"Marcus Rashford, Forward",54.84,0.66
dribbleWonPerGame,"Marcus Rashford, Forward",87.1,1.22
offensive_rating,"Marcus Rashford, Forward",19.35,6.58
passing_rating,"Marcus Rashford, Forward",19.35,6.58
goal,"David de Gea, Goalkeeper",51.61,0.0
assistTotal,"David de Gea, Goalkeeper",54.84,0.0
passSuccess,"David de Gea, Goalkeeper",6.45,59.95
all_rating,"David de Gea, Goalkeeper",16.13,6.57
tacklePerGame,"David de Gea, Goalkeeper",16.13,0.0
interceptionPerGame,"David de Gea, Goalkeeper",19.35,0.0
defensive_rating,"David de Gea, Goalkeeper",16.13,6.57
keyPassPerGame,"David de Gea, Goalkeeper",22.58,0.0
dribbleWonPerGame,"David de Gea, Goalkeeper",29.03,0.0
offensive_rating,"David de Gea, Goalkeeper",16.13,6.57
passing_rating,"David de Gea, Goalkeeper",16.13,6.57
goal,"Timothy Fosu-Mensah, Defender",51.61,0.0
assistTotal,"Timothy Fosu-Mensah, Defender",54.84,0.0
passSuccess,"Timothy Fosu-Mensah, Defender",22.58,80.49
all_rating,"Timothy Fosu-Mensah, Defender",12.9,6.38
tacklePerGame,"Timothy Fosu-Mensah, Defender",58.06,1.25
interceptionPerGame,"Timothy Fosu-Mensah, Defender",38.71,0.5
defensive_rating,"Timothy Fosu-Mensah, Defender",12.9,6.38
keyPassPerGame,"Timothy Fosu-Mensah, Defender",22.58,0.0
dribbleWonPerGame,"Timothy Fosu-Mensah, Defender",29.03,0.0
offensive_rating,"Timothy Fosu-Mensah, Defender",12.9,6.38
passing_rating,"Timothy Fosu-Mensah, Defender",12.9,6.38
goal,"Angel Gomes, Midfielder",51.61,0.0
assistTotal,"Angel Gomes, Midfielder",54.84,0.0
passSuccess,"Angel Gomes, Midfielder",96.77,92.31
all_rating,"Angel Gomes, Midfielder",9.68,6.05
tacklePerGame,"Angel Gomes, Midfielder",16.13,0.0
interceptionPerGame,"Angel Gomes, Midfielder",19.35,0.0
defensive_rating,"Angel Gomes, Midfielder",9.68,6.05
keyPassPerGame,"Angel Gomes, Midfielder",22.58,0.0
dribbleWonPerGame,"Angel Gomes, Midfielder",29.03,0.0
offensive_rating,"Angel Gomes, Midfielder",9.68,6.05
passing_rating,"Angel Gomes, Midfielder",9.68,6.05
goal,"Morgan Schneiderlin, Midfielder",51.61,0.0
assistTotal,"Morgan Schneiderlin, Midfielder",54.84,0.0
passSuccess,"Morgan Schneiderlin, Midfielder",67.74,86.67
all_rating,"Morgan Schneiderlin, Midfielder",6.45,6.04
tacklePerGame,"Morgan Schneiderlin, Midfielder",22.58,0.33
interceptionPerGame,"Morgan Schneiderlin, Midfielder",22.58,0.33
defensive_rating,"Morgan Schneiderlin, Midfielder",6.45,6.04
keyPassPerGame,"Morgan Schneiderlin, Midfielder",22.58,0.0
dribbleWonPerGame,"Morgan Schneiderlin, Midfielder",29.03,0.0
offensive_rating,"Morgan Schneiderlin, Midfielder",6.45,6.04
passing_rating,"Morgan Schneiderlin, Midfielder",6.45,6.04
goal,"Memphis Depay, Forward",51.61,0.0
assistTotal,"Memphis Depay, Forward",54.84,0.0
passSuccess,"Memphis Depay, Forward",9.68,71.43
all_rating,"Memphis Depay, Forward",3.23,5.95
tacklePerGame,"Memphis Depay, Forward",19.35,0.25
interceptionPerGame,"Memphis Depay, Forward",19.35,0.0
defensive_rating,"Memphis Depay, Forward",3.23,5.95
keyPassPerGame,"Memphis Depay, Forward",22.58,0.0
dribbleWonPerGame,"Memphis Depay, Forward",29.03,0.0
offensive_rating,"Memphis Depay, Forward",3.23,5.95
passing_rating,"Memphis Depay, Forward",3.23,5.95
